"","s__Neisseria_flavescens","s__Alloprevotella_tannerae","s__Corynebacterium_matruchotii","s__Porphyromonas_sp_oral_taxon_278","s__Fusobacterium_nucleatum","s__Leptotrichia_buccalis","s__Capnocytophaga_sp_oral_taxon_329","s__candidate_division_TM7_single_cell_isolate_TM7b","s__Capnocytophaga_granulosa","s__Treponema_denticola","s__Dialister_invisus","s__candidate_division_TM7_single_cell_isolate_TM7c","s__Prevotella_melaninogenica","s__Prevotella_maculosa","s__Treponema_socranskii","s__Veillonella_parvula","s__Gemella_morbillorum","s__Actinomyces_johnsonii","s__Leptotrichia_wadei","s__Aggregatibacter_sp_oral_taxon_458","s__Streptococcus_gordonii","s__Capnocytophaga_gingivalis","s__Prevotella_saccharolytica","s__Treponema_medium","s__Campylobacter_gracilis","s__Selenomonas_infelix","s__Peptostreptococcus_stomatis","s__Eubacterium_infirmum","s__Prevotella_oulorum","s__Selenomonas_noxia","s__Candidatus_Prevotella_conceptionensis","s__Granulicatella_adiacens","s__Treponema_maltophilum","s__Capnocytophaga_ochracea","s__Cardiobacterium_valvarum","s__Prevotella_oris","s__Porphyromonas_sp_oral_taxon_279","s__Campylobacter_showae","s__Prevotella_nigrescens","s__Rothia_aeria","s__Neisseria_elongata","s__Prevotella_pallens","s__Oribacterium_sp_oral_taxon_078","s__Propionibacterium_propionicum","s__Catonella_morbi","s__Prevotella_loescheii","s__Eikenella_corrodens","s__Anaeroglobus_geminatus","s__Selenomonas_artemidis","s__Centipeda_periodontii","s__Actinomyces_naeslundii","s__Leptotrichia_shahii","s__Porphyromonas_endodontalis","s__Selenomonas_sputigena","s__Rothia_dentocariosa","s__Lachnoanaerobaculum_saburreum","s__Treponema_lecithinolyticum","s__Campylobacter_curvus","s__Leptotrichia_hofstadii","s__Solobacterium_moorei","s__Treponema_vincentii","s__Eubacterium_brachy","s__Neisseria_sicca","s__Lachnospiraceae_oral_taxon_107","s__Haemophilus_parainfluenzae","s__Atopobium_parvulum","s__Fusobacterium_periodonticum","s__Lautropia_mirabilis","s__Stomatobaculum_longum","s__Streptococcus_sanguinis","s__Actinomyces_georgiae","s__Actinomyces_massiliensis","s__Tannerella_forsythia","s__Actinomyces_oris","s__Bacteroidetes_oral_taxon_274","s__Streptococcus_cristatus","s__Actinomyces_odontolyticus","s__Campylobacter_concisus","s__Cardiobacterium_hominis","s__Corynebacterium_durum","s__Parvimonas_micra","s__Streptococcus_oligofermentans","s__Aggregatibacter_segnis","s__Streptococcus_infantis","s__Kingella_denitrificans","s__Slackia_exigua","s__Streptococcus_australis","s__Streptococcus_anginosus","s__Streptococcus_constellatus","s__Selenomonas_flueggei","s__Oribacterium_sinus","s__Lachnospiraceae_bacterium_oral_taxon_082","s__Actinomyces_viscosus","s__Atopobium_rimae","s__Campylobacter_rectus","s__Abiotrophia_defectiva","s__Neisseria_meningitidis","s__Haemophilus_paraphrohaemolyticus","s__Neisseria_subflava","s__Fretibacterium_fastidiosum","s__Gemella_haemolysans","s__Streptococcus_tigurinus","s__Prevotella_micans","s__Streptococcus_intermedius","s__Neisseria_gonorrhoeae","s__Porphyromonas_catoniae","s__Kingella_oralis","s__Neisseria_macacae","s__Lachnospiraceae_bacterium_ICM7","s__Haemophilus_haemolyticus","s__Rothia_mucilaginosa","s__Prevotella_nanceiensis","s__Veillonella_dispar","s__Actinobaculum_sp_oral_taxon_183","s__Neisseria_sp_oral_taxon_014","s__Prevotella_intermedia","s__Prevotella_denticola","s__Leptotrichia_sp_oral_taxon_215","s__Prevotella_dentalis","s__Eubacterium_saphenum","s__Mogibacterium_sp_CM50","s__Megasphaera_micronuciformis","s__Streptococcus_mutans","s__Desulfobulbus_sp_oral_taxon_041","s__Filifactor_alocis","s__Prevotella_buccae","s__Actinomyces_timonensis","s__Pseudoramibacter_alactolyticus","s__Prevotella_oralis","s__Prevotella_salivae","s__Granulicatella_elegans","s__Leptotrichia_goodfellowii","s__Streptococcus_salivarius","s__Streptococcus_parasanguinis","s__Haemophilus_influenzae","s__Veillonella_atypica","s__Bacteroidetes_bacterium_oral_taxon_272","s__Shuttleworthia_satelles","s__Actinomyces_sp_oral_taxon_180","s__Gemella_sanguinis","s__Prevotella_veroralis","s__Actinomyces_sp_oral_taxon_848","s__Neisseria_bacilliformis","s__Prevotella_pleuritidis","s__Porphyromonas_gingivalis","s__Johnsonella_ignava","s__Eubacterium_yurii","s__Aggregatibacter_actinomycetemcomitans","s__Streptococcus_vestibularis","s__Actinomyces_cardiffensis","s__Capnocytophaga_sp_oral_taxon_338","s__Capnocytophaga_sp_oral_taxon_863","s__Alloprevotella_rava","s__Prevotella_baroniae","s__Olsenella_uli","s__Eubacteriaceae_bacterium_ACC19a","s__Desulfovibrio_desulfuricans","s__Selenomonas_sp_oral_taxon_892","s__Selenomonas_sp_CM52","s__Prevotella_marshii","s__Eubacteriaceae_bacterium_OBRC8","s__Eubacteriaceae_bacterium_CM5","s__Aggregatibacter_aphrophilus","s__Eggerthia_catenaformis","s__Capnocytophaga_sp_oral_taxon_332","s__Veillonella_sp_3_1_44","s__Neisseria_lactamica","s__Leptotrichia_sp_oral_taxon_225","s__Bulleidia_extructa","s__Haemophilus_sputorum","s__Prevotella_sp_oral_taxon_473","s__Selenomonas_sp_F0473","s__Selenomonas_sp_oral_taxon_137","s__Escherichia_coli","s__Streptococcus_massiliensis","s__Capnocytophaga_sp_oral_taxon_380","s__Neisseria_cinerea","s__Haemophilus_parahaemolyticus","s__Prevotella_histicola","s__Streptococcus_sp_BS35b","s__Actinomyces_sp_oral_taxon_448"
"S21.01.D",16661,1187313,109263,0,1815629,0,0,479,1424,703077,233137,1845,1875,28084,601475,5923,0,10294,0,0,11425,232398,4819,200898,71657,2507,120356,24556,0,6262,141966,569,510702,18759,2345,69761,42304,6174,913312,314235,80919,0,14732,259996,166797,32015,79460,8955,5428,3769,21287,0,5470007,26659,135355,0,225,0,0,114,426456,466480,4355,0,48483,0,1283,12515,0,263,0,11723,1737840,7512,733840,7849,416,0,62416,20042,41589,0,0,1606,12357,2010,2073,5581,1578,0,0,0,2249,253,325556,0,2124,0,2665,446520,909,0,0,4371,0,0,23211,3771,0,0,49601,0,0,0,0,0,137958,0,0,0,180808,0,0,322377,342158,3160,4691,0,126142,0,0,0,0,0,0,0,0,0,0,1847,0,256218,0,1667933,1290434,9260,45214,0,0,0,0,0,24410,13170,17432,0,0,0,0,0,0,0,0,2382,0,0,0,0,44477,0,0,0,0,0,0,0,0,0,0,0,0
"S21.02.D",46530,3687283,6634421,3260702,3911724,35063,977557,1876680,25078,190680,154427,2107453,299,898587,1221976,329158,398992,697205,745,0,5372,832580,61296,322039,544358,96554,88935,6826,90,422003,1207468,134220,901864,30373,333639,22232,905128,116684,645860,39029,1743532,0,0,1160958,711985,7494,931549,0,93708,15517,607798,0,3058012,18885,163709,7578,0,14334,11300,1440,64615,519587,0,20151,4279,188,6624,131047,0,53739,50824,502657,2778941,79096,8848023,51012,0,13172,549341,185739,104542,7585,124993,2220,536976,7104,0,0,0,1413,0,0,26219,633,413033,24855,0,0,1426,877489,3333,0,0,200553,0,539042,316466,9157,0,1058,0,0,0,290177,0,0,0,0,0,0,149465,0,0,291555,174286,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,401949,0,0,2449205,362432,26268,361249,0,0,0,0,0,38862,0,244,0,0,0,0,0,0,0,672107,0,0,0,0,0,171085,0,0,44060,704345,16463,0,0,0,0,0,0,0
"S21.03.R",0,3284111,8035099,397740,2559873,120543,1377893,2375550,68804,11869,199561,2364381,0,529434,1013737,1193629,378558,2155460,650327,0,74919,466852,25268,338847,1303953,271645,44847,34776,1094878,1758183,3418309,287215,155544,128806,48987,444509,839770,97091,3068494,31911,2019051,0,7438,277570,207479,36140,409532,0,139862,350147,113449,60144,44752,316255,445060,202283,0,640802,73893,3393,1312245,1006269,0,8090,4300,42178,1281,0,389875,183784,6507,79902,25576,90133,6916,40280,0,26341,43139,69984,45494,4431,28269,2479,270144,5107,0,937,0,87150,0,24319,67944,0,0,55761,0,0,0,30297,0,67950,0,16655,0,41371,643963,16590,801,0,148,0,0,0,0,0,0,245618,0,765,0,0,0,0,1050,0,0,1892,1797,255132,0,2029,0,0,0,0,0,0,304238,0,0,0,546,1584,0,143450,42451,0,0,0,270892,0,14864,0,0,0,0,0,731208,0,1857,0,753,0,0,0,0,0,26199,0,0,246176,188968,0,78543,122702,0,0,0,126059,0
"S21.04.R",0,2754765,10733956,1072126,3967806,104602,97796,6678977,30371,242758,16946,5944863,0,371350,802785,184847,600712,556405,256888,0,5185,532581,157918,589779,588324,119993,3644,19906,4631,1383778,2654996,338120,615224,30371,73576,1736251,145142,654273,5703387,21152,869879,0,209,874272,668036,883469,504759,0,247518,46928,1408848,37141,387324,96795,705515,41347,0,246215,24148,1145,349175,2219160,0,51465,2089,0,1764,151,1196,740315,51674,1696078,197162,305566,20677,8073,0,15376,73518,408742,91833,0,50767,6179,70637,2269,0,119877,0,2218,0,0,260252,0,0,8938,0,0,0,153050,6467,1930,0,206056,144,38574,756023,6165,0,475,2067,0,0,152726,0,0,0,0,0,0,81692,0,0,0,0,0,0,0,0,0,353,0,0,0,0,0,0,0,128188,0,0,0,0,0,0,12582,368714,0,14843,0,270990,0,266020,108858,0,0,0,0,121995,0,11653,0,53273,0,0,0,0,0,370601,0,699494,107987,257760,1412,3500,246352,0,0,0,0,0
"S27.01.D",114666,1474845,1597832,0,1033986,4827,0,187413,13650,594655,657383,173742,8728,38509,316483,252567,19618,30440,33852,0,0,42034,2039,230284,225164,12137,37205,215212,42752,259484,74128,23346,233253,709,2993,569366,92925,26897,1054551,1145,63603,0,51977,40764,22936,56625,18533,0,19281,7356,465273,2424,2347267,13261,18238,83957,93,5257,2177,48006,124433,673283,12296,4924,5676,26744,8706,1444,42665,7632,2168,21168,1283300,149839,480870,43629,0,1230,5179,3278,75093,929,7576,0,3612,2750,0,845,0,123,0,0,5718,8612,0,0,1772,0,1996,41247,0,568,0,46696,0,464,22791,0,12641,588,1956,0,0,0,0,0,96539,0,0,135338,129901,0,0,167421,0,176,12821,1437,143520,495,682,1052,0,0,0,0,36909,0,0,0,53427,0,0,0,18054,1662,9542,103804,0,9523,0,0,691,6038,11299,0,0,0,0,2972,105,0,0,1154,0,0,0,0,773,0,82820,0,0,960,0,117884,0,0,0,0,222722
"S27.02.D",283967,4256345,1075894,398905,1199320,62901,76261,293904,52956,138553,362190,311148,6093,582687,547690,140869,83881,18804,118155,0,373,25429,63878,373657,183808,45321,577380,656484,537779,489489,662961,18033,208267,0,85836,766820,441851,151883,5698184,17019,69776,0,167704,65977,147369,26871,23083,34200,33584,63591,614383,17746,1549249,141500,10612,48117,376,18742,11737,545031,142957,401333,26196,23367,32710,0,14821,21703,63650,6964,0,41740,597442,63561,267468,24938,0,8698,5544,27373,110727,800,187773,2741,0,31349,0,96511,24156,56888,23946,32651,10815,348136,0,0,0,12641,5780,38527,4928,0,207946,28232,0,105304,826,0,20147,10962,0,0,0,0,0,0,120542,0,108333,78024,190632,225,0,155155,302,34436,0,0,258446,88931,10037,0,0,0,6529,211509,156948,20962,0,0,1537332,0,0,40489,1170550,30899,23120,93826,0,0,0,0,232342,344049,945788,0,0,0,326164,230781,1298,0,0,118469,0,0,0,0,0,0,176936,0,0,54627,0,0,0,0,0,0,463887
"S27.03.R",518570,2003182,5004543,0,1022538,52753,265862,1606997,21762,432324,143048,1414228,3380,74262,274947,182911,75613,39753,10912,212981,5151,98955,69337,97630,127230,56149,134877,158288,275670,348830,21302,43426,374705,1064,180028,2036183,795357,119943,1840093,86334,623226,0,2609,97130,14415,237332,144907,0,34640,5240,864691,2808,492479,22887,305463,115068,0,0,36521,107171,9493,119671,18024,31424,18419,0,28713,44748,7588,10334,0,28232,356515,85853,284142,136145,0,3007,92624,150829,1115,9982,42787,10304,20276,4081,519,0,0,1980,0,0,12169,0,0,1945,2459,2343,1980,4141,0,0,0,32058,0,27289,1908,0,39794,0,0,0,1661,0,0,0,0,0,0,6164,56189,0,0,87697,0,0,304,0,0,0,226,20574,0,0,0,0,0,0,0,0,5441,0,0,0,0,0,28791,205807,0,2657,0,0,15592,0,8480,0,0,0,0,0,3410,0,234,0,61077,0,0,0,0,0,0,0,0,35847,0,55743,1932,0,0,0,0
"S27.04.R",8415038,462667,12930309,0,3162414,518440,1052137,4349688,143979,551659,18202,4144226,0,351757,451944,431951,359407,86594,808623,1004262,3844,220652,546796,159835,130558,58456,22548,19535,192641,1641840,1518708,116470,414559,11637,425402,765761,2150187,1492609,1223557,96171,1521623,0,0,628406,592475,942658,450393,0,184376,116860,1710330,461048,0,162630,0,772513,0,4406,118756,0,22128,148932,18749,225013,78022,0,77010,161408,26692,110798,0,159745,97,130056,275443,263297,1439,17872,271584,94530,34814,1701,1315846,77010,1948,0,0,0,989,15916,97,1911,31555,0,0,9022,6294,45687,17797,1446,11457,0,180165,56530,0,205560,1686,4991,64279,1993,0,0,0,0,399932,0,0,0,0,0,0,0,0,4436,0,0,0,0,0,4826,18921,0,0,0,0,0,914,0,0,0,16538,0,0,0,0,105920,232311,0,0,0,0,3510462,0,0,1993,0,0,365357,164121,0,16733,0,25185,0,622854,0,1709,723093,0,0,0,0,0,91824,0,199033,14792,25118,0,0,0
"S31.01.D",0,755288,1464054,0,1973958,279847,0,5956,24324,9293999,949733,11246,23488,87959,1702093,229290,0,119806,137985,0,2551,12560,0,1188832,138139,30851,223317,56689,137897,111711,35770,1791,1749327,8560,58981,260283,0,7234,3894,0,0,0,102957,331028,80990,24094,6598,27670,7081,18580,386092,16978,2546512,22987,308672,68654,73691,0,78380,1602,508943,0,0,295,3140,1337,9997,0,10957,21278,7458,75841,3844486,35517,308678,2392,0,401,5903,26085,10021,13202,0,0,0,18239,0,0,0,9296,0,0,6345,3264,856825,0,0,0,0,730928,7234,0,54362,22097,0,6993,10757,0,0,0,0,0,0,0,0,1045350,29703,0,16242,0,273178,0,4212,375782,1549951,18692,9903,70133,61290,0,0,41514,318,0,0,0,1031105,0,0,0,124566,0,0,823930,19026833,85066,4677,0,0,24336,0,0,54056,152772,90439,3770,0,0,0,0,0,0,37543,297626,0,0,0,0,30557,0,0,0,0,69826,0,0,0,0,0,0,0
"S31.02.D",0,1024222,356386,0,1303959,33329,0,37089,4756,3760171,1700086,32728,2697,88749,1435965,49219,1294,24204,76889,0,1042,748,26565,827335,74523,25914,100727,108714,45778,95211,136371,0,1614232,6226,2050,348471,0,7457,125023,0,0,12755,141358,22624,41896,1118,882,143429,19154,38556,68036,12604,2590978,16297,37509,14243,78565,0,7932,25317,701740,0,0,0,0,273,2109,0,5953,4680,3088,77884,3411087,92795,331170,10302,0,0,2802,882,18456,3865,0,0,0,25426,0,5155,5546,19423,0,0,11415,36182,596950,0,0,0,0,1523626,0,601,27485,2651,0,8054,517,0,0,0,0,0,0,0,0,600274,3441,0,12768,0,436481,0,26338,874553,837918,51450,0,76258,22469,0,0,0,0,0,0,0,777889,0,0,0,8365,0,0,661382,12477977,0,193,0,0,205794,0,0,93383,107987,349740,7546,0,0,0,6890,101,790,77884,113163,0,0,0,0,69641,0,0,0,0,844,0,0,0,0,0,0,0
"S31.03.R",0,523917,15629540,3137286,1347947,380656,126539,2660624,67555,63566,124363,2592853,6454,659269,3776512,505956,67481,577485,316841,1177608,34043,158757,89565,547377,1517470,259075,202778,270138,504689,1636080,2185383,70108,908683,62866,464629,295739,1423903,84068,1760430,0,440092,0,1040235,371264,141719,7809,310305,17450,241680,743532,803528,42452,270616,110754,2037096,322675,4615,0,58331,40835,598937,0,0,0,27441,9156,29853,42768,7755,329641,44170,218530,72426,932553,277785,42344,910,8395,154277,187707,19680,95070,0,2345,0,7236,0,0,0,28862,0,0,103148,9648,10160,0,0,0,0,193993,9971,431,367390,6838,0,1054026,301560,0,0,0,34293,0,1913,0,112256,13165,0,0,0,0,37122,0,6609,11514,13124,9412,4649,12450,458,0,0,22132,67,9816,0,2338,42593,0,0,0,23210,0,63465,47046,213127,0,202650,0,0,20865,115167,0,27993,38760,56351,8792,0,0,431772,0,0,0,92685,566,0,0,0,0,35606,0,0,0,0,2830,0,0,0,0,0,0,0
"S31.04.R",0,4160487,4600072,577652,3609174,166635,0,435553,9921,76068,4963996,459745,9590,542772,1557351,1173405,137473,200686,211504,0,3776,15762,157059,424383,821059,178538,576795,583554,1743255,2175502,2547559,1567,459324,6490,17295,3924736,37537,3611,10968585,0,2340,12027,1366407,251810,141159,23971,33201,1615138,118397,65422,362654,23736,500699,51062,30799,172145,108400,0,19518,597093,231415,0,0,476,1981,180443,6876,6172,103878,7560,11751,123927,72430,3594855,83898,6082,0,3058,33208,1643,29487,13711,0,0,0,53824,0,7546,0,130548,0,7802,230711,990587,42045,0,0,0,0,125398,4246,0,457397,318,0,45601,23280,0,0,0,186,0,2271,160967,0,15955,0,0,2679,0,0,0,481990,13905,18047,77808,0,0,11854,0,0,10888,863,380,0,1940,75861,0,0,0,200237,0,1388,2860904,267903,27292,25842,0,0,2285,75813,0,217835,72672,16797,0,0,0,227653,0,0,0,20180,1816,0,0,0,0,264686,0,0,245148,0,2161,0,0,0,0,0,0,343157
